"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_ERCC_percent","non_mt_percent","non_ribo_percent","batch","outliers","cell_number","cell_line_demuxlet","demuxlet_cls"
"p1_C3",35037,18861,145690,36358,4249,1165,17412,6972,37752,0.990225683145204,0.911051069900654,0.988238771922343,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","DBL"
"p1_C4",51037,19813,253534,38378,6425,885,91207,7843,54831,0.99489339953769,0.8926519667902,0.981561346398689,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_C5",26833,13031,113567,23943,3728,787,14590,6468,30990,0.991997418202001,0.903291384026043,0.977056799917135,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_C6",61013,27024,246797,53928,7680,1178,44923,9111,61123,0.993979352945049,0.902017243770427,0.978845773465672,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_C8",46888,13511,181769,37276,5052,1149,48586,7389,42615,0.992138917988469,0.89100082109797,0.982048343998981,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_D10",35837,12203,193300,31745,3776,444,86383,6659,39584,0.996185327153348,0.89301232798782,0.98196216098369,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_D11",17145,6767,77005,14633,2412,387,26238,5069,21092,0.993077943773432,0.892613312681295,0.98150911174421,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_D12",121492,53282,588003,111347,14905,738,183474,11752,120673,0.998044301459478,0.898021926951512,0.980484368459857,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
"p1_D14",16610,6601,61630,15963,2026,876,8885,4711,17124,0.986042980036181,0.906680681554146,0.978742712717407,"sc_Celseq2_5cl_p1","FALSE",1,"H838","DBL"
"p1_D15",27454,11094,114332,22899,2814,629,37327,6437,31327,0.992434640727668,0.890126727458701,0.98113417143864,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_D16",26235,5113,99896,14373,2217,789,51679,4145,20272,0.988259668020787,0.881264798302454,0.984460840340943,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","DBL"
"p1_D17",21110,12730,79429,25041,2693,806,5131,5684,23386,0.989352603699071,0.904515521720467,0.977464732119759,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_D18",19437,11314,81980,23791,2532,802,11971,5707,22810,0.989390617716181,0.891231915435672,0.980972827280654,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_D19",30033,18209,112611,36288,3638,542,17201,6382,29865,0.994341201743063,0.902561526568705,0.98205224106739,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_D20",19144,9817,83842,17332,2609,676,10881,5758,23030,0.990534085544709,0.899001302258358,0.984715160783691,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_D21",21084,10154,102160,21093,2854,792,10927,6555,28459,0.99160195333933,0.916511472322811,0.982430520246488,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_D22",59821,28141,239728,63148,7090,383,36060,9963,74095,0.99777312895637,0.902355084566792,0.981118701515797,"sc_Celseq2_5cl_p1","FALSE",2,"HCC827","DBL"
"p1_D24",33992,24400,150270,38680,5387,778,15621,7466,38424,0.994222360765609,0.902248594393543,0.979491729259908,"sc_Celseq2_5cl_p1","FALSE",2,"H838","DBL"
"p1_D5",27974,12752,124601,31439,3915,640,14479,7410,36259,0.994070437410279,0.905209740780162,0.981714613829776,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_D6",17540,8758,64162,16542,2195,610,8795,5361,19660,0.989420141917894,0.902899287434944,0.981535614681783,"sc_Celseq2_5cl_p1","FALSE",1,"H838","DBL"
"p1_D7",16309,5846,80025,14727,1786,682,27339,4579,17841,0.987164396061227,0.904489658144448,0.982791893508271,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","DBL"
"p1_D8",29478,14411,115688,35867,3612,645,18362,6646,32111,0.993179906887615,0.903459873282221,0.982373335500814,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
"p1_D9",24089,5960,98310,17468,3064,795,13834,5715,26762,0.991405724164335,0.889881174467573,0.97985913614112,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_E1",12691,6093,43760,11273,1185,411,12162,3738,12176,0.988337712723113,0.898735216081853,0.980698931751863,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_E10",21949,14659,94693,23985,3295,710,17812,5802,24213,0.990790071040024,0.893239168672515,0.984966346604573,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_E11",15461,8422,72883,14836,1667,505,22240,4937,18946,0.990235405367763,0.880027445962194,0.981156454578035,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_E13",19983,11934,84023,19880,3044,800,8680,5400,22448,0.989397718732449,0.902931218414589,0.981646034548274,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_E14",33194,12571,130619,32417,4333,817,10479,6903,36244,0.992384946200092,0.908591766662457,0.976271665304143,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_E15",33822,14189,126585,30443,3144,558,40224,6248,30256,0.993588048323113,0.901308831008293,0.982846052734647,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
"p1_E17",15819,5888,72415,13311,1545,407,21339,4384,16982,0.992580378640572,0.897597455601462,0.983099173772716,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","DBL"
"p1_E18",23840,9154,116004,19654,2599,493,53138,4825,23621,0.99445408704354,0.885821937730908,0.981880114355821,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_E19",58992,37984,271549,59798,6800,840,102574,8004,57214,0.995647918167643,0.897455168158588,0.980686373844448,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_E2",24991,9587,112552,18353,3306,761,30116,5974,28083,0.992308513694296,0.897268809992783,0.979132934824294,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_E22",64673,35594,309660,60244,7931,765,104821,9067,68290,0.996368428613799,0.891946112038081,0.981314836533191,"sc_Celseq2_5cl_p1","FALSE",2,"A549","DBL"
"p1_E23",97118,54990,423118,112549,14245,785,52586,11643,107848,0.997542837975897,0.905033009336749,0.98089895214571,"sc_Celseq2_5cl_p1","FALSE",2,"H1975","DBL"
"p1_E24",54739,35274,258709,57696,6440,930,76254,8708,57160,0.994874037614613,0.901696990744979,0.979635937782376,"sc_Celseq2_5cl_p1","FALSE",2,"HCC827","DBL"
"p1_E4",34102,16665,138339,28544,3950,556,48411,7568,39620,0.9947753657257,0.882963149701423,0.984174410859563,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_E5",78165,13216,167009,22395,3306,1121,78285,5808,31733,0.989474679044063,0.901206945167111,0.979768386295533,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_E6",27680,12060,83085,30247,2660,1070,9006,5728,22522,0.986413284350229,0.912174762049474,0.981351131626351,"sc_Celseq2_5cl_p1","FALSE",1,"H838","DBL"
"p1_E7",67495,8516,111632,18388,2159,623,50893,5156,23883,0.991374617513975,0.899384499058165,0.983335015142564,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","DBL"
"p1_E9",31519,12667,152423,23301,4521,530,36540,7281,41161,0.995408274581422,0.895167755667946,0.981730040152076,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_F1",19881,9433,86716,15641,2271,551,22286,5386,21047,0.990402432180167,0.893951631636836,0.982847444838958,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_F10",40063,25457,191356,41987,6226,605,17288,8524,47719,0.996353653472128,0.900417024476536,0.986085000506088,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_F11",18844,7207,92722,16061,1998,398,48337,4803,21002,0.992238833924274,0.875964193469211,0.985096188412443,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_F12",21762,7540,107856,20481,2113,637,50021,4659,17988,0.990160106187369,0.916666666157068,0.978151557620882,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_F13",19616,15412,83008,20969,2174,719,25431,4884,19754,0.988559278632905,0.885086564298326,0.983850873822581,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_F14",18045,6714,73559,12888,1713,666,34266,4098,15470,0.987071751139579,0.887912087338131,0.98144732938117,"sc_Celseq2_5cl_p1","FALSE",1,"H838","DBL"
"p1_F16",10448,6318,50963,11348,1490,451,12606,4033,12532,0.988908393720948,0.914139801377163,0.98763087485567,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_F17",21393,17215,79807,27981,2300,989,14140,5379,21655,0.988178249370502,0.88737012196381,0.979819450556707,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_F18",24126,9455,116898,22329,2763,499,35445,5703,24905,0.993495281672959,0.876289901274326,0.981850639690568,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_F19",18613,8880,79531,12555,2131,732,26767,4890,21088,0.987718133067281,0.885147951021838,0.981315923124088,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_F2",15761,8459,63470,15053,2133,481,6772,4855,18590,0.990586336207323,0.910812264168471,0.9775142670714,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
"p1_F20",17706,11452,77708,18328,2028,871,21519,4926,18139,0.987320138382866,0.88340040747373,0.983295119193385,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_F21",24280,11900,99523,21644,3275,478,13698,6725,30311,0.994391474714001,0.902378674110924,0.983569996512818,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","DBL"
"p1_F22",20394,16548,91718,25446,2346,571,28185,4995,20569,0.992124069720393,0.891778890129915,0.981330652277382,"sc_Celseq2_5cl_p1","FALSE",2,"A549","SNG"
"p1_F23",31560,15166,145857,33471,3300,669,54495,6136,31142,0.993064028966327,0.903506518237908,0.980026658523326,"sc_Celseq2_5cl_p1","FALSE",2,"H838","DBL"
"p1_F24",23447,21586,91354,32813,3148,549,6885,5989,25485,0.992897782620013,0.904375122266284,0.979870127576956,"sc_Celseq2_5cl_p1","FALSE",2,"HCC827","DBL"
"p1_F3",18093,8370,78579,15398,1445,499,35618,3830,15646,0.990540712648255,0.898823979995639,0.982934307213149,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","DBL"
"p1_F5",17716,9545,67325,20396,1711,615,11192,5208,20247,0.989529312495911,0.89435471877594,0.981033742760042,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_F6",19753,7867,60517,17498,1764,646,9985,4297,14972,0.988311514167572,0.895738711664615,0.977290290348457,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_F8",20670,12595,94052,22891,3196,502,11329,6418,26578,0.993754232450239,0.9008954771236,0.984949588024085,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_F9",30100,15836,131054,27763,3138,682,52183,5850,28768,0.992039766062278,0.893736095351176,0.980394542410129,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_G1",27261,10193,147324,20270,3058,1082,60746,5973,30513,0.989348801825665,0.89106282538883,0.983547673598901,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_G11",18756,10507,82653,19675,2269,612,14926,5287,21528,0.99145299099245,0.914018951637858,0.981604895203969,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
"p1_G12",36778,14847,168640,26122,3965,703,59903,6956,39159,0.993615771344106,0.894992211012796,0.983553976466719,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_G13",21959,10897,94956,22107,2312,799,32253,5299,22192,0.988824801284776,0.90176640190079,0.980893573858339,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_G14",53616,23012,234857,45437,6403,735,70808,8058,51432,0.995372530526642,0.900139990492273,0.980206684514177,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_G15",21536,12639,99066,20697,2752,760,20906,5627,25514,0.990515010978085,0.894802852984713,0.979187513056552,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_G16",37892,13452,184353,30635,4335,822,68621,7299,39776,0.9928851566289,0.889581657057124,0.985719784362484,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_G17",22035,10568,101143,21057,3071,637,20535,5967,26152,0.992122973006989,0.90279902076216,0.980039392765604,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_G18",18839,11011,86505,20790,2649,862,7005,5677,23642,0.988368157944181,0.907368242573654,0.980288900985999,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
"p1_G19",48318,35440,173068,66049,5548,860,17824,8553,50430,0.994527067024682,0.907733491789067,0.980348804213999,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_G2",9922,4845,40413,10298,1113,303,6949,4191,13545,0.991509781475445,0.902473236690681,0.979770409914795,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
"p1_G20",23706,11484,101135,26813,3393,1211,8177,6329,29446,0.988928886439948,0.896997894146235,0.977619718257244,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_G21",22520,13765,78724,23466,2458,1037,14793,5305,21479,0.985381069423446,0.88127938876052,0.983006200006425,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_G22",54781,23076,251545,42775,5589,963,113921,7637,48827,0.994101623897823,0.891023408996862,0.982181788317573,"sc_Celseq2_5cl_p1","FALSE",2,"H838","DBL"
"p1_G23",18501,9013,83328,21806,2435,645,9306,5525,22458,0.990426573608324,0.902929913214476,0.980095743122387,"sc_Celseq2_5cl_p1","FALSE",2,"A549","DBL"
"p1_G24",47516,21950,185006,53091,6515,864,28054,8414,50166,0.99461786847773,0.901447195131873,0.981800226886691,"sc_Celseq2_5cl_p1","FALSE",2,"H1975","SNG"
"p1_G3",14953,8450,53965,14759,1669,431,8128,5109,18147,0.991623959336737,0.907863558214656,0.982365689995211,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_G4",106982,56838,497558,106798,13170,736,135550,10614,107899,0.99798885985987,0.892417909258434,0.980342637064047,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_G5",19880,14474,86028,21440,2415,846,20527,5162,21412,0.988791331501592,0.893377544884468,0.978469559840482,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_G6",19537,12704,80550,20604,2401,831,15453,5675,22998,0.987998956001392,0.892164535658681,0.984259072850216,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_G7",32517,23458,132576,34499,4458,643,13192,8182,42951,0.994831319178871,0.898861493120332,0.984004799887127,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_G8",50658,26289,233661,44205,5208,794,89106,7809,52158,0.995187698724033,0.903543080466363,0.981958475793076,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_G9",33408,19223,164190,32561,2926,691,94566,5625,28452,0.991845915579978,0.873084492874636,0.986784413473776,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_H10",32132,18235,157249,31393,3245,832,63182,6055,31827,0.992207873506077,0.895151914759433,0.982278888277598,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
"p1_H11",26616,13462,102483,25933,3399,666,7782,6532,29368,0.992679106172474,0.899652682886253,0.978275341093932,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_H12",13558,9711,56500,15223,1465,602,14123,4194,15067,0.9877878801435,0.891816552139234,0.978229920866847,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_H13",25453,13642,117357,31033,2873,813,43102,6116,27332,0.990414166182345,0.883872383695349,0.982364633995085,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_H15",31142,18640,145045,36365,3347,829,50204,6306,31431,0.991759727341873,0.889376729696994,0.983105538129383,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_H16",29757,9392,156397,25507,3105,621,67648,5989,29550,0.99346869678732,0.903824026766895,0.979999668358826,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_H17",17189,10084,64397,19020,1638,674,17256,4448,15652,0.987477638009534,0.890621006331062,0.983196407362377,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_H19",24422,9671,135948,20242,1950,469,78234,5630,27154,0.993592103928117,0.895190395192167,0.988546443048375,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_H2",23331,14597,108864,21824,2739,636,34512,5888,25584,0.991596309806287,0.891377423041206,0.988273534914972,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_H20",26580,8964,116829,16917,2653,403,59246,5401,25991,0.994498095111963,0.879650647962891,0.986494945752397,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_H22",27392,18052,118850,36904,2740,673,34806,6740,30739,0.992224860603069,0.887211685192358,0.984677125255498,"sc_Celseq2_5cl_p1","FALSE",2,"A549","DBL"
"p1_H23",48685,21677,185278,53968,4923,796,58578,7605,42989,0.994580008608114,0.897089953035174,0.98364675064627,"sc_Celseq2_5cl_p1","FALSE",2,"H1975","DBL"
"p1_H3",24873,13704,110752,23297,2810,565,38857,6120,28607,0.992973747337025,0.883525011052007,0.985038282574796,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_H4",28964,22009,86430,32858,2438,605,14827,6338,25258,0.991606619292261,0.907356084841493,0.983846312516307,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","DBL"
"p1_H5",16293,15110,54638,20910,1482,696,11220,4174,14229,0.98418722258473,0.890856700477295,0.980813141602965,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_H6",17329,9843,74462,16071,2122,619,19980,5194,19868,0.989883228815239,0.891936782317326,0.981477259171905,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_H7",15852,7574,65061,13445,1644,705,24000,4258,17261,0.986095822382194,0.879786802108924,0.982039869045902,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_H9",34920,19333,175251,29376,3328,865,92093,5296,30320,0.991193931071506,0.89788918176191,0.98403661476365,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_I1",48495,17095,186493,40513,5252,879,54747,7897,46157,0.993327122431413,0.888684273048793,0.984162535658181,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_I10",16857,10670,68960,17473,2023,492,18519,5247,20460,0.990566959437651,0.879912023030346,0.983626107709625,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_I11",22979,11994,119968,20220,2675,723,51981,5253,25104,0.990718610185342,0.894797641453634,0.982711526963222,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
