"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_ERCC_percent","non_mt_percent","non_ribo_percent","batch","outliers","cell_number","cell_line_demuxlet","demuxlet_cls"
"p1_A24",23484,8245,35969,11897,1222,267,3320,5426,16122,0.991130132123105,0.900694702331786,0.982631818241026,"sc_Celseq2_5cl_p2","FALSE",2,"H838","DBL"
"p1_A3",17764,11458,57447,21668,1649,296,3536,6377,22188,0.993374796739961,0.907382368439074,0.977600064178807,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_A4",10571,9849,36472,13656,1125,403,3867,4898,14599,0.987601889863962,0.899582162545666,0.980066456561096,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_A5",25996,6541,76103,11637,1628,265,32269,5674,21733,0.994248377585125,0.903142685821956,0.984907290798652,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_A6",22873,12403,71967,23298,2107,385,9616,6698,27098,0.993505055357036,0.902907963354156,0.978263717520216,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_A8",29071,12367,68719,27853,2130,405,3207,7133,28179,0.993754213778433,0.907590758753827,0.979274999370099,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_A9",18106,6987,52640,14891,1261,484,24415,4650,16567,0.987565641946299,0.890565581643891,0.981287510540526,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_B10",14894,8916,59005,15627,1425,361,19875,5304,19003,0.991054043576775,0.886544229391915,0.98342315243743,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_B11",21253,10637,83808,21721,2397,452,25981,6164,25953,0.993295572383426,0.887180672412754,0.982275273658046,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_B12",17533,7761,70731,14566,1940,382,19989,5859,24224,0.992940884662756,0.896796565019486,0.978492000292272,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_B13",29358,14157,118130,23446,2701,422,56508,6106,30003,0.994000599608706,0.884944838554496,0.983534652023247,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_B14",9803,4049,30141,10530,568,398,15302,3154,9158,0.982528935376142,0.883053067391294,0.985366908313051,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_B16",19405,6276,60558,13290,1135,333,28078,4857,17372,0.990962467769421,0.912963388836655,0.981694115994637,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_B17",63798,30773,171877,59862,4763,401,38962,9759,55079,0.996641187930674,0.900597323680423,0.978812073782735,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_B19",47556,24585,174776,47319,6087,393,19928,9812,64736,0.997312160004122,0.897568586119382,0.982219942192915,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_B2",37049,21414,112019,39475,2592,437,44214,6652,31571,0.994076842357202,0.902442114312995,0.978967730205654,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_B20",26072,17287,89424,31104,2425,373,8759,7229,32565,0.995393827423493,0.911162290523211,0.977582994754186,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_B21",18762,8112,34880,12236,907,390,3168,4558,13288,0.987658036583641,0.901339553806939,0.979830689471185,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_B22",21363,11819,85892,24470,2427,378,5388,7299,31803,0.994969027766258,0.901707385812122,0.976448455665046,"sc_Celseq2_5cl_p2","FALSE",2,"HCC827","DBL"
"p1_B3",30855,12997,60740,22246,1835,304,15902,6050,23157,0.993738394008836,0.89761195280148,0.980437457167398,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_B5",11035,7217,37930,12487,1289,412,4445,4792,14144,0.987980768532253,0.897200225610011,0.98090993996752,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_B7",11995,6707,43763,14178,979,211,13445,5474,18302,0.993771172006463,0.905911921699316,0.983443894960171,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_B8",11913,6708,43080,16872,990,451,15831,4268,13243,0.985577285369193,0.90455334825602,0.980441757576261,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_C1",37233,21737,97284,32980,2819,380,27326,7154,32138,0.9950214696014,0.896539921309185,0.979338795401458,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_C11",44078,22178,134748,38675,3999,380,16279,8838,47527,0.996696614346225,0.898731247312321,0.982977889835695,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_C12",17550,15446,65429,25064,2077,544,10936,6040,23579,0.990245557067626,0.895245769161014,0.978582222069544,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_C13",25687,20835,78959,30147,2358,404,15074,7069,28229,0.993517304547268,0.898296078182615,0.97892203800275,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_C14",24989,14584,54348,25622,1610,441,6808,6112,21231,0.991286326130994,0.895059111254741,0.978427309864203,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_C15",18924,12621,83734,17232,2052,425,39675,5160,21753,0.991863190827995,0.888199328419896,0.983174282547565,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_C16",18652,8170,70484,15741,1539,376,27633,5419,21611,0.992411271578173,0.904539354539568,0.981397907825687,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_C17",15645,13982,39853,20640,1191,318,3458,5007,16253,0.991878421834813,0.918907278090871,0.97674215422251,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_C18",27022,20650,91403,40666,2549,409,7275,7629,33777,0.994552505848787,0.914468424989055,0.980015697067325,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_C19",10266,5623,30483,10000,883,403,2052,4085,12104,0.985789820732163,0.90812954320214,0.974800913085829,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_C2",18063,11754,65259,23090,1839,423,3871,6300,24057,0.992642473711335,0.911917528822415,0.978176423420866,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_C21",16554,10978,63755,18368,2018,426,4979,6196,23772,0.992596331401398,0.909305064399586,0.974255016719243,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_C22",23076,11371,88630,23316,2400,360,21456,6832,28440,0.994092826654679,0.893073136113547,0.984001060477827,"sc_Celseq2_5cl_p2","FALSE",2,"A549","SNG"
"p1_C23",30050,15133,131947,29723,3856,383,30993,8663,45235,0.995689178513167,0.893644301781,0.978821492467892,"sc_Celseq2_5cl_p2","FALSE",2,"H1975","DBL"
"p1_C24",18503,4947,77740,15270,1996,227,22758,5809,24949,0.995390596418538,0.904364904042501,0.978315372032798,"sc_Celseq2_5cl_p2","FALSE",2,"H2228","DBL"
"p1_C3",25023,17114,79846,34399,2576,572,8059,7031,29813,0.992318786773448,0.899104417234393,0.980243189131188,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_C4",17549,13441,62939,21953,1758,399,19114,5519,21192,0.991789354005384,0.886513778366122,0.978717922462287,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_C5",21274,8877,71705,17873,2191,448,12555,6363,25505,0.992746519900903,0.898098411723937,0.980552448322898,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_C6",40969,13934,116363,28094,3375,446,29050,7680,37826,0.995241368107851,0.896341140777153,0.982604297942077,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_C8",26368,16951,82345,31249,2371,408,7139,7296,30590,0.994638770514992,0.900163451814265,0.979339333331372,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_D1",21330,21026,60520,27102,1712,470,16266,5781,20411,0.990936259374388,0.894174709277265,0.980549223188858,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_D10",12427,12184,38247,17625,1309,319,2396,5459,15918,0.991016458731614,0.901997737842695,0.985424685623391,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_D11",9152,3448,41525,7358,924,255,18219,4064,13762,0.989972387014989,0.894056095847946,0.983867908830178,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_D12",49559,25784,192513,46955,4630,453,61231,8623,54882,0.996446922306686,0.904431325224221,0.978881786581796,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_D14",21109,7596,69741,15768,1884,459,25037,5544,21663,0.99150625444698,0.893597377605319,0.983519834039683,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_D15",18967,14980,50049,20991,1562,428,5520,6064,21152,0.991017397413475,0.899631240119312,0.979244998465867,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_D16",34316,13341,77140,21512,2078,420,22947,6520,25649,0.99259230340653,0.895161604391921,0.986899689305747,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_D17",17236,10733,62999,17641,1942,438,6552,6219,23032,0.992358457366986,0.90877908956722,0.983066610339263,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_D18",21585,10672,82862,23369,2428,383,17760,6586,28377,0.99383303344475,0.911689043622762,0.981357796328789,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_D19",24869,21135,72191,37373,2264,312,6565,6778,26755,0.994804709028292,0.905886749801575,0.974733330318322,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_D20",32749,20115,128870,34666,3921,513,29079,8218,42209,0.995190598925539,0.891563410435792,0.982207353358916,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_D21",21985,11095,119052,16460,2224,336,69990,5612,25042,0.994529190562044,0.891941537859619,0.9870613421207,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_D22",19074,7878,53515,16720,1766,338,7165,6053,22218,0.994148887841323,0.894634980243661,0.977630309825227,"sc_Celseq2_5cl_p2","FALSE",2,"A549","SNG"
"p1_D24",14879,6956,64999,13819,1762,222,18963,5340,19878,0.995472381026526,0.896719991499789,0.980480440446504,"sc_Celseq2_5cl_p2","FALSE",2,"A549","DBL"
"p1_D3",27313,10357,70147,16727,1385,455,39907,4215,16809,0.98946992623626,0.891962638531761,0.982925228790988,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_D4",17388,11843,56645,20227,1627,418,13476,5679,19432,0.991097158814792,0.891416220208205,0.982862812441945,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_D5",21223,11668,95629,21688,1831,385,42507,6129,25609,0.993869342421075,0.913233628445768,0.982701010308481,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_D6",24707,10793,55829,25022,1693,439,6101,6403,22634,0.991561367415587,0.901608199654675,0.979145984295315,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_D9",16859,9207,55887,16945,1410,408,15275,5264,18632,0.991573636221783,0.909617861255036,0.977618625151017,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_E1",53281,29655,166164,55290,4702,207,47100,9480,55268,0.998045885322782,0.895183469476879,0.985832491526292,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_E10",21466,9329,93226,22468,2476,455,15681,7339,31286,0.994086811674843,0.911366105954303,0.980406258260481,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_E11",15011,9101,44489,19199,1452,360,4255,5457,18338,0.990456974048175,0.901734103554513,0.977150737729994,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_E12",27562,12875,98311,28047,3089,468,13746,7939,36826,0.99454189947468,0.897680986015945,0.983652586853694,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_E13",26613,23202,71809,43252,2054,611,4454,7040,26710,0.991201796708648,0.91299138865107,0.978846507358103,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_E14",90687,47830,257761,90860,7730,526,44949,11305,84570,0.997327657443854,0.897788813894077,0.982239448712375,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_E15",24425,9855,41346,17998,1264,427,6066,4979,16511,0.988431953855956,0.895039669980595,0.978195761494906,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_E16",20338,9277,70449,19628,1461,439,33076,5117,19496,0.990305703226146,0.891567500568544,0.984816893302784,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_E17",12558,10056,42644,16240,1106,456,11577,4507,14401,0.986875910709759,0.895007290538846,0.979375752117386,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_E18",13962,7978,56107,14874,1363,553,17199,5075,18031,0.987521490218223,0.89002273812322,0.980311141749686,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_E19",16457,8631,59911,17049,1331,563,21095,4993,18552,0.988033634655006,0.880282448857114,0.98361309637069,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_E2",36340,22627,125205,39170,3573,485,13744,8332,44401,0.995450552691279,0.909393932364272,0.978198468908703,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_E22",29177,11491,125402,24024,3396,500,29722,7755,40469,0.994934393981829,0.901826088882397,0.977661672474815,"sc_Celseq2_5cl_p2","FALSE",2,"H2228","DBL"
"p1_E23",28837,11029,127180,22845,3167,407,35854,7082,38188,0.995443594585879,0.892610243821983,0.977243904565857,"sc_Celseq2_5cl_p2","FALSE",2,"HCC827","DBL"
"p1_E24",45370,20288,175825,40526,5632,346,23258,9707,59410,0.997407843629455,0.900589126258106,0.98247753198493,"sc_Celseq2_5cl_p2","FALSE",2,"H1975","SNG"
"p1_E4",14912,12563,32531,21340,1055,382,4346,4804,14418,0.98675266958888,0.89270356436905,0.979469427473001,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_E5",23809,15888,85269,30796,2363,505,18800,6643,28547,0.993099099382387,0.902616736994214,0.980417914170346,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_E6",23549,10247,51720,18131,1587,529,4874,5688,19609,0.989188637365909,0.890866438425791,0.980467652370008,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_E7",31666,14215,65033,20138,1618,544,25205,5299,20357,0.989192906130966,0.873704376443629,0.980252011469268,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_E8",34546,16975,138579,22546,3428,519,62638,6996,36327,0.994191647811768,0.896523246924733,0.980620205186169,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_E9",31059,15752,145647,27185,3059,312,66735,7202,39144,0.995861434448227,0.894134477597043,0.981171831909914,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_F1",23268,19300,59242,24641,1612,483,14807,5670,20454,0.990319741375614,0.896792802925202,0.980785674789442,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_F10",9116,7658,29531,13578,922,326,3237,4137,11197,0.989461462008162,0.894525318483053,0.979725837522696,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F11",13627,8474,42186,14165,1374,299,3182,5495,18702,0.992300288208587,0.903539727888172,0.97663299292429,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_F12",18283,18231,40010,27069,1204,426,4226,5216,14734,0.988801411029726,0.89704085727091,0.979909746226587,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F13",23559,20639,72573,28647,2401,456,3607,6900,27722,0.993290527020673,0.912740783164007,0.982720949887833,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_F14",14252,6472,30982,10379,959,351,3650,4598,12135,0.988463122382808,0.889822825801547,0.982858687384683,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F16",9559,6200,40195,11472,830,342,17892,3678,10535,0.98851447461935,0.89539629720418,0.983767457268669,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F17",24411,10559,92239,21332,2069,409,22090,6995,29764,0.99425480412772,0.910462303147943,0.979807492337222,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_F18",9843,4782,35661,9019,800,453,10280,3970,11548,0.985538620552876,0.888119154062938,0.98034206759433,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F19",12389,7477,39140,9436,1090,300,14859,3987,13177,0.990058434400806,0.895423843898138,0.980571464998509,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F2",17878,15851,49949,21313,1461,432,8793,5293,18365,0.99041655268695,0.895181050424622,0.978763420221389,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_F20",10463,6114,39342,10567,1121,390,12564,4239,11886,0.988473833931959,0.884149418741251,0.981910666405295,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F21",12673,8327,39243,14532,1177,291,2495,5353,16113,0.992428473287142,0.892012660031023,0.982808302111151,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F22",20425,11988,63664,23048,2044,185,5852,6576,22469,0.996306021186387,0.904446125370757,0.979927464538936,"sc_Celseq2_5cl_p2","FALSE",2,"H2228","DBL"
"p1_F23",20860,8278,79129,21022,2324,331,16407,6470,26297,0.994600144124957,0.900711107388405,0.983724005124537,"sc_Celseq2_5cl_p2","FALSE",2,"H1975","DBL"
"p1_F24",17985,6607,76991,12763,2275,334,20035,6308,24545,0.994785088207462,0.895294356938157,0.98166592720883,"sc_Celseq2_5cl_p2","FALSE",2,"H2228","DBL"
"p1_F3",20963,8694,35957,15954,1309,374,3258,4549,14086,0.98842822590627,0.89187846024998,0.976358812751091,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_F4",17678,13178,55401,23071,1488,361,9500,5931,18518,0.992223781730088,0.909763472885969,0.981422949874204,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_F5",9552,5888,24253,9047,718,351,2681,3843,10626,0.985977789397725,0.893374740360084,0.978165840235422,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F6",19054,5802,33063,10695,921,317,9225,3662,10573,0.989217818037248,0.895204766012291,0.979380516995633,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_F7",39978,20191,141614,28361,3799,431,51201,8055,43132,0.99568765626549,0.896805156056569,0.981776643379244,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_F9",19610,8840,71709,16494,1905,390,23259,5874,22416,0.992371519899906,0.90587080616262,0.981173723602015,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_G1",11512,10839,46208,15247,1451,621,4565,5230,17820,0.985914702028106,0.904377103869598,0.979572963202602,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_G10",12335,7579,37895,16662,1169,566,3950,4856,14841,0.986658580293337,0.899198166633516,0.975809597864296,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_G11",24713,13297,101559,24152,2013,419,43886,5988,27997,0.993535021254586,0.909740328996057,0.983605034966234,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_G12",57448,51554,188435,81016,4843,544,47184,9368,60021,0.996384598557774,0.909231768729406,0.980623285079675,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_G13",21326,11717,73957,20301,1823,433,23702,5913,22719,0.991989083589952,0.896298252169418,0.982393158856834,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_G14",12856,9215,39468,14914,1174,521,2550,4606,15278,0.986058383959904,0.895601517937164,0.979577837689594,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_G15",12951,8146,56177,12664,1228,469,23343,4345,15998,0.987623452314275,0.884173021075026,0.982122151442586,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_G16",59054,38874,177486,72703,4976,534,18802,9774,63043,0.99641514506029,0.905683422282302,0.979188652318473,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_G17",21716,10810,97293,18594,2408,491,38929,6245,26940,0.992464736082975,0.894654788086617,0.983555685391357,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_G18",13014,10056,44477,17899,1241,498,5658,5055,16376,0.987420614931961,0.891609672147283,0.979603700779372,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_G19",48670,22090,197773,46428,4505,373,65846,8828,57297,0.997050456219863,0.90074523955866,0.978044055003917,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_G2",10279,8195,31443,12504,885,441,3522,4662,13683,0.985967988755413,0.899364173865845,0.98121685213999,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_G20",17540,7645,72736,15806,2532,499,9311,6544,26115,0.992877656139047,0.895577254108529,0.983955204305876,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_G21",23989,9027,73872,15665,2348,596,22381,5991,23723,0.990262613923086,0.892635838261335,0.982084482534046,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_G22",37469,13881,151940,28946,4128,418,44256,8066,46105,0.995987419803495,0.900249430452174,0.981238264561704,"sc_Celseq2_5cl_p2","FALSE",2,"HCC827","DBL"
"p1_G23",57571,24691,247443,59423,7308,499,24781,10877,82062,0.997453145061362,0.906205064353025,0.977565623849574,"sc_Celseq2_5cl_p2","FALSE",2,"HCC827","DBL"
"p1_G24",37813,12689,147089,29882,3814,369,46378,8289,43722,0.996477745529372,0.895338730868821,0.97936942972201,"sc_Celseq2_5cl_p2","FALSE",2,"H838","DBL"
"p1_G3",10389,5036,37119,9210,833,292,13755,3955,13082,0.988380980745772,0.887784741715499,0.983105807135142,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_G4",22892,14426,81606,30070,2935,474,4547,7488,31185,0.993682860030886,0.903254769631793,0.980278665935974,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_G6",26171,16832,99087,27055,2310,442,22253,7406,33382,0.993978790667432,0.912318015423786,0.98043826600016,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_G7",15641,7483,62670,13885,1574,366,26998,5268,20047,0.990572154940603,0.886815981998895,0.980894407694714,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_G8",13254,6264,45970,12444,1530,432,6114,5298,17816,0.989167040306934,0.886955545079167,0.977996756849598,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_G9",19769,15354,74487,21009,1961,464,15846,6712,26281,0.99273239184478,0.912408203298045,0.98253453729518,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_H10",29008,28389,83664,40895,2676,395,6389,7523,31839,0.994597819970917,0.900687835390343,0.977794221616815,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_H11",29237,15390,121892,24139,3021,420,59555,6478,31638,0.99424742366956,0.885454200364924,0.984986097418896,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_H12",12545,14567,36790,21865,1064,438,2675,5035,15011,0.98774232163897,0.91079874697835,0.979747531978195,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_H13",27705,20601,114869,30333,2859,484,30977,7407,37333,0.994455307370301,0.903356279724813,0.978383473499726,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_H15",13564,8829,53083,12798,1308,459,20274,4544,15862,0.98776951141863,0.886458201433326,0.982473217454787,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_H16",20655,11792,65881,25305,2105,426,6870,6614,23730,0.992203960812388,0.907796038386938,0.983564692977373,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_H17",18959,13198,46297,22764,1399,391,5668,5160,17717,0.990235366602565,0.891573064914165,0.978833335873265,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_H18",10431,6837,39511,11304,1291,386,6220,4670,14497,0.989239152245817,0.905221769396964,0.979167428317977,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_H19",12313,7203,42957,14055,1349,304,5020,5486,18249,0.992547536307443,0.905748259682312,0.978683227199722,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_H2",11176,8860,34521,14735,978,346,4752,4684,13498,0.987701881028521,0.891761741819705,0.982144775415043,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_H20",16681,7853,44370,13867,1396,352,2428,5805,18952,0.991610383605102,0.906711692218915,0.982639836091264,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
